
> radioos@0.1.0 dev
> next dev

▲ Next.js 16.3.1 (Turbopack)
- Local:         http://localhost:51397
- Network:       http://10.141.159.200:51397
- Environments: .env.local
✓ Ready in 1601ms
✓ Running next.config.ts took 161ms
 GET /login?verified=true 200 in 193ms (next.js: 20ms, proxy.ts: 12ms, application-code: 161ms)
 GET /login 200 in 1856ms (next.js: 595ms, proxy.ts: 66ms, application-code: 1195ms)
 GET /login?verified=true 200 in 1990ms (next.js: 866ms, proxy.ts: 123ms, application-code: 1002ms)
 GET /login 200 in 1122ms (next.js: 33ms, proxy.ts: 23ms, application-code: 1066ms)
 GET /login?verified=true 200 in 1136ms (next.js: 124ms, proxy.ts: 24ms, application-code: 987ms)
 GET /login 200 in 1216ms (next.js: 54ms, proxy.ts: 18ms, application-code: 1144ms)
 GET /login?verified=true 200 in 1209ms (next.js: 137ms, proxy.ts: 17ms, application-code: 1054ms)
 GET /login 200 in 1205ms (next.js: 56ms, proxy.ts: 30ms, application-code: 1119ms)
 GET /login?verified=true 200 in 1201ms (next.js: 141ms, proxy.ts: 21ms, application-code: 1039ms)
 GET /login 200 in 1157ms (next.js: 58ms, proxy.ts: 29ms, application-code: 1070ms)
 GET /login?verified=true 200 in 1136ms (next.js: 107ms, proxy.ts: 26ms, application-code: 1003ms)
 GET /login 200 in 1159ms (next.js: 63ms, proxy.ts: 22ms, application-code: 1074ms)
 GET /login?verified=true 200 in 1152ms (next.js: 180ms, proxy.ts: 22ms, application-code: 949ms)
 GET /login 200 in 1133ms (next.js: 63ms, proxy.ts: 25ms, application-code: 1045ms)
 GET /login?verified=true 200 in 1126ms (next.js: 146ms, proxy.ts: 23ms, application-code: 957ms)
 GET /login 200 in 1105ms (next.js: 69ms, proxy.ts: 24ms, application-code: 1011ms)
 GET /login?verified=true 200 in 1103ms (next.js: 147ms, proxy.ts: 21ms, application-code: 936ms)
 GET /login?verified=true 200 in 1099ms (next.js: 112ms, proxy.ts: 16ms, application-code: 970ms)
 GET /login 200 in 1128ms (next.js: 52ms, proxy.ts: 26ms, application-code: 1051ms)
 GET /login 200 in 1160ms (next.js: 59ms, proxy.ts: 40ms, application-code: 1061ms)
 GET /login?verified=true 200 in 1143ms (next.js: 159ms, proxy.ts: 25ms, application-code: 958ms)
 GET /login?verified=true 200 in 1106ms (next.js: 41ms, proxy.ts: 32ms, application-code: 1033ms)
 GET /login 200 in 1128ms (next.js: 142ms, proxy.ts: 32ms, application-code: 953ms)
 GET /login?verified=true 200 in 1142ms (next.js: 58ms, proxy.ts: 26ms, application-code: 1058ms)
 GET /login 200 in 1125ms (next.js: 143ms, proxy.ts: 23ms, application-code: 960ms)
 GET /login?verified=true 200 in 1077ms (next.js: 69ms, proxy.ts: 24ms, application-code: 985ms)
 GET /login 200 in 1062ms (next.js: 140ms, proxy.ts: 20ms, application-code: 902ms)
 GET /login?verified=true 200 in 984ms (next.js: 52ms, proxy.ts: 21ms, application-code: 911ms)
 GET /login 200 in 972ms (next.js: 131ms, proxy.ts: 21ms, application-code: 820ms)
 GET /login?verified=true 200 in 930ms (next.js: 52ms, proxy.ts: 26ms, application-code: 852ms)
 GET /login 200 in 919ms (next.js: 166ms, proxy.ts: 21ms, application-code: 733ms)
 GET /login?verified=true 200 in 896ms (next.js: 56ms, proxy.ts: 17ms, application-code: 824ms)
 GET /login 200 in 896ms (next.js: 117ms, proxy.ts: 15ms, application-code: 764ms)
 GET /login?verified=true 200 in 931ms (next.js: 40ms, proxy.ts: 15ms, application-code: 875ms)
 GET /login 200 in 991ms (next.js: 100ms, proxy.ts: 16ms, application-code: 875ms)
 GET /login?verified=true 200 in 982ms (next.js: 38ms, proxy.ts: 14ms, application-code: 930ms)
 GET /login 200 in 1067ms (next.js: 92ms, proxy.ts: 13ms, application-code: 962ms)
 GET /login 200 in 1112ms (next.js: 82ms, proxy.ts: 26ms, application-code: 1003ms)
 GET /login?verified=true 200 in 1170ms (next.js: 304ms, proxy.ts: 23ms, application-code: 843ms)
 GET /login 200 in 1025ms (next.js: 48ms, proxy.ts: 77ms, application-code: 899ms)
 GET /login?verified=true 200 in 964ms (next.js: 133ms, proxy.ts: 17ms, application-code: 814ms)
 GET /login 200 in 937ms (next.js: 52ms, proxy.ts: 77ms, application-code: 808ms)
 GET /login?verified=true 200 in 944ms (next.js: 147ms, proxy.ts: 21ms, application-code: 775ms)
 GET /login 200 in 894ms (next.js: 68ms, proxy.ts: 103ms, application-code: 723ms)
 GET /login?verified=true 200 in 912ms (next.js: 130ms, proxy.ts: 27ms, application-code: 754ms)
